time,max_temperature,min_temperature,avg_temperature
2024-01-01,8.2,-3.6,2.3
2024-01-02,8.2,-1.8,3.1999999999999997
2024-01-03,4.1,-3.7,0.19999999999999973
2024-01-04,11.1,-1.2,4.95
2024-01-05,11.5,1.2,6.35
2024-01-06,10.2,1.2,5.699999999999999
2024-01-07,11.6,2.5,7.05
2024-01-08,5.8,2.5,4.15
2024-01-09,10.8,0.2,5.5
2024-01-10,15.2,3.3,9.25
